Frame,Tracking_ID,Position_X,Position_Y,Volume,Radius,Area,Length,Width,Orientation,Dry_Mass,Displacement,Speed,Instantaneous_Velocity_X,Instantaneous_Velocity_Y,Track_Length,mCherry_Integrated_Intensity,mCherry_Mean_Intensity,mCherry_SD_Intensity,mCherry_Maximum_Intensity,mCherry_Skewness
85,433,349.665741,538.3914795,2331.79834,23.98223305,1806.87915,54.89920807,43.93561172,-86.42366791,582.9489746,23.24056625,0.0009085698985,-0.0004528130521,0.0007876926102,48.57282257,3122230,773.5941772,1058.613647,4500.814453,1.97304225
86,433,350.6580811,536.9665527,2546.09375,25.33870888,2017.060181,57.05270004,52.1376915,-87.87889862,636.5227661,23.97621727,0.001929355785,0.00110260013,-0.001583251986,50.30924225,3173647.25,701.2036133,997.7573853,5467.789551,2.08249259
87,433,349.0067139,536.5586548,2748.662598,25.60349083,2059.435547,57.19357681,48.00175858,-78.69007111,687.164978,25.14747429,0.00188999786,-0.001834852388,-0.0004532199528,52.01024246,3285568.25,709.3182983,987.3127441,5200.995117,2.078950644
88,433,350.0109253,535.5092773,2515.793701,25.07113457,1974.684937,57.99240112,46.91255188,-84.80557251,628.9477539,25.56663513,0.001613841974,0.001115790452,-0.001165974885,53.46269989,3252961,733.8066406,1029.959351,4774.547852,2.049573421
89,433,351.0324402,535.4984131,2849.665283,26.86823082,2267.921387,56.15659714,55.23599243,45,712.4155884,25.11430359,0.001135080704,0.001135016559,-1.21E-05,54.484272,3365552.5,657.335022,976.2235718,4771.079102,2.253599167
90,433,350.7995911,534.7232666,2710.635254,25.78198624,2088.250488,57.04943848,47.03042984,-84.80557251,677.6581421,25.91373253,0.0008992938092,-0.0002587212366,-0.0008612738457,55.29363632,3359353.75,715.5171509,1019.228149,4767.463379,2.088362694
91,433,349.0922546,535.8463135,2896.978027,26.34095383,2179.781006,59.88854599,45.56737137,90,724.2437744,25.7172966,0.002270648023,-0.001897040522,0.001247829874,57.33721924,3408400.75,693.0457153,997.4561157,5126.024414,2.108687639
92,433,350.6559448,535.7103882,2648.443115,25.15706825,1988.244995,53.77414322,53.61265945,29.74488449,662.1102295,25.09140778,0.00174398534,0.001737433486,-0.0001510280999,58.90680695,3327705.75,745.6203003,1050.922363,5179.537109,2.013718843
93,433,349.7708435,535.7825317,2657.597412,24.80067062,1932.309814,58.58662415,44.26544952,90,664.3987427,25.43988609,0.0009878049605,-0.0009845398599,8.02E-05,59.79484177,3343915.25,773.3377075,1072.395264,4921.394531,1.94350636
94,433,349.8811646,535.3787842,2790.738037,25.80290604,2091.640625,56.93433762,49.74566269,-83.65981293,697.6838379,25.74275589,0.0004650538613,0.0001225789456,-0.0004486083926,60.21339035,3420846.5,725.5248413,1041.346069,5035.819336,2.063838959
95,433,349.3626709,536.0380859,2661.171875,25.72961617,2079.775635,56.29124451,48.37194061,-80.53767395,665.2923584,25.41618347,0.0009309186717,-0.0005754646263,0.0007317444542,61.05215073,3468453.75,742.2304688,1049.821045,4973.944824,2.060301304
96,433,350.1982727,535.0332031,2580.701172,25.09264565,1978.075073,56.14925385,47.9765892,-54.46231842,645.1746826,25.90247345,0.001452124794,0.0009284464759,-0.001116536441,62.35906219,3402926.5,762.1339111,1084.69104,5257.929688,1.998373866
97,433,350.0395203,534.1369019,2745.45459,25.54019356,2049.265381,60.1674614,43.88325882,86.63353729,686.3630371,26.77419281,0.001011390821,-0.000176391608,-0.0009958903538,63.26931381,3447651.5,747.3773193,1096.553955,5356.026855,2.089128733
98,433,350.9515076,534.545166,3148.866211,27.30643654,2342.501709,74.19931793,48.32813644,85.76360321,787.2158203,26.00971222,0.001108989934,0.001012194552,0.0004531233863,64.26851654,3600379.5,683.8347168,1051.179688,4920.823242,2.255957842
99,433,350.8851013,534.7961426,3061.99292,26.82803726,2261.141357,66.21665192,46.63847351,-73.30075836,765.4974365,25.81113052,0.0002887799928,-7.39E-05,0.0002791730512,64.52812958,3629052,711.8577271,1068.928589,5211.708008,2.182132244
100,433,350.2203979,535.2440796,3177.657959,26.74747467,2247.581299,57.9390831,48.77446365,-72.64597321,794.4137573,25.70473289,0.0008906081785,-0.0007385592908,0.0004977078061,65.32967377,3633316.75,715.0792847,1069.780029,5360.094727,2.171746254
101,433,350.0031738,535.9730835,3049.286377,25.77152061,2086.55542,59.28549957,45.28753281,-71.56505585,762.3208618,25.16144753,0.000845199218,-0.0002413601323,0.0008100043633,66.09035492,3623919.25,771.0462646,1115.029663,5645.555664,2.013857603
102,433,351.092804,535.8148804,3148.540771,26.66666603,2234.02124,60.10890198,46.93434525,-71.56504822,787.1343994,24.80332565,0.001223394414,0.001210700138,-0.000175781257,67.19140625,3663973,725.395813,1075.349243,5643.455078,2.128926039
103,433,349.956604,535.8864136,2823.656494,25.64560127,2066.215332,59.88854599,48.17122269,90,705.9133911,25.2598362,0.001264943974,-0.001262444421,7.95E-05,68.32985687,3586203,770.5628662,1109.225952,5932.839844,2.016344547
104,433,350.0477905,535.619751,2859.516602,25.96964645,2118.760742,58.58662415,46.86929703,90,714.878479,25.45176697,0.0003131361154,0.0001013183573,-0.0002962917788,68.61167908,3630499.75,759.9946289,1102.405884,5538.98877,2.018007517
105,433,352.5161743,534.164978,3173.374268,27.8251152,2432.337402,59.88854599,53.37892151,90,793.3427124,25.73883057,0.00318353856,0.00274264859,-0.001616414404,71.47686768,3737270.5,681.9827271,1065.977783,5985.963867,2.226383209
106,433,349.9456177,533.1474609,3160.514404,27.89289856,2444.202393,64.62848663,53.44950485,79.69515228,790.1278076,27.7039299,0.003068386344,-0.002853004029,-0.001129319775,74.24147797,3854907.75,697.3436279,1042.139038,5700.224121,2.172697306
107,433,349.9231873,535.9680176,2803.039307,26.07331657,2135.710693,59.88854599,52.07699585,90,700.7590942,25.20407677,0.003137537045,-2.50E-05,0.00313743786,77.06212616,3662363,764.4258423,1107.438232,5695.3125,1.957455754
108,433,348.0008545,534.848999,2778.291748,26.00079155,2123.845703,63.73854065,46.07065964,66.37062073,694.5722046,27.13097572,0.002471458167,-0.002135925228,-0.001243353938,79.28643799,3763730.25,787.2271729,1117.690674,5799.716797,1.949414849
109,433,347.8509521,532.6191406,2701.937988,25.45555115,2035.7052,65.5109024,42.34038162,50.1944313,675.4838257,29.13705444,0.002483212622,-0.0001665581658,-0.002477620495,81.52133179,3708896.5,809.4503174,1141.575439,5630.65625,1.906868935
110,433,348.2366028,534.8314209,2517.493896,24.84414291,1939.089722,59.04201126,41.74688339,66.37062073,629.3728638,27.02537155,0.002495158464,0.0004285007017,0.002458089264,83.7669754,3701597.75,847.4352417,1170.943115,5797.469727,1.830537677
