"","Tracking.ID","Duration","Mean.Intensity","Speed","Int.var","Track.Length","type"
"46",48,50,2324.09580566407,0.00598502760469125,99504.7227225742,269.686981201172,"B"
"47",49,27,1195.16688142,0.00232846075176405,34561.9913353329,78.0155410766602,"B"
"48",50,59,1195.31346828655,0.00563218674405703,28082.555982473,294.000152587891,"B"
"50",52,60,1280.49775695801,0.00295449453711873,255267.015897954,156.883666992188,"B"
"52",54,91,953.508312183423,0.0022342405107338,39505.8623804739,201.318435668945,"B"
"54",56,69,2114.60624716939,0.00216809209172532,399906.67630493,141.613891601563,"B"
"55",57,24,2085.0423227946,0.00469571696695588,234016.727897018,97.2013397216797,"B"
"56",58,76,1788.05868931821,0.00222250695388842,465782.974732043,150.019226074219,"B"
"58",60,46,805.076640253482,0.00201599428287914,9055.30565265464,90.8636322021484,"B"
"64",66,47,2251.58264679605,0.00740932526810945,314725.001302301,306.746063232422,"B"
"65",67,62,1234.85820548765,0.00247966863556582,38925.6635723163,150.798568725586,"B"
"69",71,55,1090.91685347124,0.00286286014252929,146837.374621679,139.88996887207,"B"
"70",72,59,1151.30307368909,0.0019307442193606,132082.068785076,102.808685302734,"B"
"72",74,69,904.165441540704,0.00268042269325473,87718.4677328081,164.718170166016,"B"
"73",75,24,2564.60214233399,0.00924575292383847,382613.448772198,191.387084960938,"B"
"74",76,31,2173.27268145161,0.0095646143813307,208047.860983589,273.492034912109,"B"
"75",77,75,956.653460286459,0.00201314471229813,21440.9292973896,135.174682617188,"B"
"79",81,85,861.567958697151,0.00140867177443787,47038.6342856537,106.936454772949,"B"
"83",85,76,955.028812609221,0.00130740770099995,97940.5834937698,98.1659164428711,"B"
"89",91,38,1145.99836008172,0.00237084138073417,124135.975223407,78.9490203857422,"B"
"91",94,53,1194.68441369399,0.00303144801896101,626629.452876951,143.314041137695,"B"
"96",100,50,1838.12178466797,0.00216075433899259,88801.8050840141,103.645721435547,"B"
"98",102,37,870.942856247361,0.00179134138064304,36213.1924058766,58.0394592285156,"B"
"100",104,90,2275.95962999132,0.00373032623332967,60158.489328582,298.799133300781,"B"
"102",107,118,868.836320262844,0.00190754470618891,180287.486478048,200.864456176758,"B"
"103",108,90,876.091986083985,0.00189474985406347,178267.611345486,155.664169311523,"B"
"107",112,139,2030.47341589619,0.00352595505377183,313856.217872788,453.844207763672,"B"
"109",114,61,1463.52077396581,0.0043071814829697,200981.981960989,239.98225402832,"B"
"110",116,113,1038.94900917796,0.00224620738975188,229579.423711657,237.282440185547,"B"
"111",117,101,1150.18596626508,0.00236966391457827,126654.590364886,220.365905761719,"B"
"112",118,45,1167.16862250434,0.00193747445535502,162696.468847676,95.7179489135742,"B"
"113",119,227,1912.51328993474,0.00424337931139863,738271.091278166,863.104919433594,"B"
"118",124,31,1812.9072265625,0.0108547509880736,210228.276256972,293.078277587891,"B"
"120",126,27,1171.74205638744,0.00123560655853138,2241.88455061037,31.5992088317871,"B"
"125",131,106,954.690274796396,0.00283519986925447,12099.9631602886,267.926391601563,"B"
"137",145,39,1705.96125832582,0.00493020102639045,750841.904714297,180.620193481445,"B"
"142",150,76,814.891848112408,0.00345396474624673,51323.7186583126,259.513305664063,"B"
"143",151,95,988.572422388981,0.00318661638943632,46948.6448813132,269.587738037109,"B"
"149",157,78,1005.1617556841,0.00283380074184746,40425.630939776,197.596542358398,"B"
"150",159,88,919.657218326222,0.00254424271158562,173132.577376499,197.608154296875,"B"
"154",166,71,1080.18077925561,0.00523910645861179,85632.4607050541,334.252410888672,"B"
"157",169,58,2015.6210032496,0.00686225004130648,134880.361927355,352.033416748047,"B"
"164",177,52,925.859044001653,0.00252998056684566,72847.9779443147,132.841247558594,"B"
"168",181,45,1034.49064398872,0.00510405107343104,56751.3421023989,210.639663696289,"B"
"169",182,97,1134.57738188124,0.00424125911361746,185541.524249885,377.656982421875,"B"
"177",192,24,3639.62740071615,0.00626040081260726,1270052.58475472,150.455215454102,"B"
"189",204,146,694.547344050995,0.00228639360384791,71999.0958793426,304.376831054688,"B"
"190",205,111,728.155604456996,0.00216044028916671,64494.6825620919,227.568756103516,"B"
"194",209,245,2047.00922017,0.00241456209926687,180884.518907103,530.242065429688,"B"
"195",210,161,2163.29424480178,0.00463310000614001,529737.953294702,667.175170898438,"B"
"203",219,114,280.754222802949,0.000656106321059221,1727.55269804207,71.8029937744141,"B"
"208",225,91,721.408578474443,0.00271934055886555,128214.249765339,226.727767944336,"B"
"209",226,89,786.190300073517,0.00158180872135331,25851.5236666233,126.066482543945,"B"
