"","Tracking.ID","Duration","Mean.Intensity","Var.Intensity","Track.Length","Dry.Mass","Mean.Speed"
"239",258,26,158.286814176119,135.047965437023,180.919692993164,326.491838308481,0.00356894110329449
"240",259,13,164.640575702374,203.113947311464,111.794815063477,245.612463144156,0.00517483868558581
"243",262,13,68.4081485454853,6.34372138352142,157.844604492188,405.090639554537,0.00603171713980069
"244",263,19,80.8253009193822,88.1611089578251,164.614196777344,591.937581915605,0.00288810922292113
"253",275,62,98.128873455909,266.139046291045,549.824829101563,370.587404312626,0.00482832387921813
"256",278,69,94.5122708306796,767.106940438091,580.51904296875,359.642050922781,0.00436372054825958
"257",279,100,85.007487411499,182.22665729314,601.736511230469,427.253424377441,0.00336227149966013
"266",288,13,70.7876809927133,8.00051614171107,106.814277648926,436.588550274189,0.00336100385175087
"276",301,64,102.166250109673,90.1074785501047,303.094329833984,339.164411306381,0.00267266085702142
"277",302,49,103.87016078404,317.085327179198,437.51318359375,293.505246532207,0.00432020355583518
"285",310,33,85.3386147238992,32.1659963162429,234.532165527344,275.324010213216,0.00399251656881461
"286",311,33,82.1991225733902,43.6954136131351,285.156036376953,280.276725075462,0.00495078582753194
"291",316,72,114.695655081007,319.948483357948,550.667541503906,337.481069140964,0.00412483331681767
"292",317,68,109.656422446756,108.230039552017,604.187927246094,283.670236699721,0.00486832701768863
"299",325,95,161.55223099558,225.518873588903,789.546203613281,312.744622642116,0.00461321166159828
"307",333,67,84.465308459837,157.929054454658,569.258483886719,293.188399129839,0.00443180230583742
"312",339,36,90.59053823683,178.683689328725,322.092468261719,543.559162563748,0.00352375140895934
"324",352,73,81.8579934525163,23.7016393760596,500.678771972656,291.095364923347,0.00386320022052031
"325",354,21,89.9304413568406,29.6843396422025,201.641555786133,373.174460274833,0.00560119953588583
"332",361,33,79.9472311771277,26.4824722834059,220.834548950195,252.882456923976,0.00383393054289627
"350",383,53,95.4952552363558,103.624757748275,276.129180908203,411.662994384766,0.00282536180244418
"351",384,86,145.523950798567,603.373940655895,873.538757324219,297.03767359534,0.00559837929082706
"352",385,87,70.9617748041263,57.8488431311623,697.340148925781,392.814037805316,0.00450490631073778
"353",386,25,75.5358407592774,20.916678134694,268.052062988281,275.507631225586,0.00579067377596705
"358",391,13,107.264909597543,37.6243370392876,53.5961112976074,241.48543372521,0.00248060520001066
"369",403,74,74.0237191689981,80.9374966014696,753.963439941406,383.575688490997,0.00551582825284815
"371",405,27,97.2224821867766,41.3022876616853,174.457061767578,481.316333912037,0.00353731431040125
"372",406,55,115.403188254617,324.95004297904,465.957183837891,298.185130726207,0.00479367594622697
"373",407,66,109.095396215266,164.446427222562,382.9873046875,321.703540686405,0.00327344265488836
