"","Tracking.ID","Duration","Mean.Intensity","Speed","Int.var","Track.Length","type"
"64",126,104,807.027174729568,0.0052777537270743,281229.693254239,489.252685546875,"K"
"65",127,102,971.439211527507,0.00436512890926246,232393.80198664,396.790710449219,"K"
"66",138,89,562.70336708326,0.00193177378167258,100390.604541142,153.953018188477,"K"
"72",161,113,1089.86796205234,0.00175527017842926,324201.08644648,176.931976318359,"K"
"78",175,85,752.420305857939,0.00332468472351182,98461.5515420923,251.357055664063,"K"
"79",176,130,875.819608248197,0.00441459527177386,59590.063535255,512.530883789063,"K"
"80",178,74,1236.32783137141,0.00274864381656835,702838.088166073,180.585220336914,"K"
"82",184,146,887.991913991432,0.00259255099490161,180036.153805867,338.324310302734,"K"
"83",185,115,635.687242060122,0.00358872013563533,264934.370214645,368.205230712891,"K"
"86",206,80,2071.37209987641,0.00581940271913481,1668228.74534916,415.483978271484,"K"
"91",231,101,740.869745688864,0.00238835942713194,131920.606678006,214.946990966797,"K"
"92",232,101,892.877119611986,0.00318750025966438,279403.522803223,286.872161865234,"K"
"94",257,84,582.725690841676,0.00926684194766209,507628.207601786,692.210571289063,"K"
"95",265,125,966.323254821778,0.00321034942070612,351918.806480083,358.259857177734,"K"
"96",266,106,968.247944453978,0.0029355690501342,293141.731818903,278.518859863281,"K"
"97",287,88,663.392194401134,0.00315056377239044,33506.8469214622,246.675338745117,"K"
"98",288,86,601.546900727028,0.00215979549513363,71656.511413952,165.2265625,"K"
"99",293,101,878.41854518475,0.00516031032922911,612482.757636458,464.414123535156,"K"
"100",299,104,741.522745572604,0.00732728780825957,114763.75709382,679.250610351563,"K"
"101",300,94,734.838507631992,0.00520631989967378,91483.5449236867,435.716644287109,"K"
"103",313,112,1186.84998594012,0.00179375757670641,142250.138581356,164.919830322266,"K"
"104",325,96,2192.4326210022,0.0017868638815248,817496.420098527,152.778854370117,"K"
"105",326,92,1332.44974434894,0.00335939125352025,867769.588851515,275.125030517578,"K"
"106",336,104,970.048067092896,0.0018150946910909,80770.0362763989,168.256195068359,"K"
"107",337,138,1136.47821542491,0.00263456513634096,85708.7200023708,324.858062744141,"K"
"108",348,40,1830.43059082031,0.00300975542109555,448809.589607596,105.646644592285,"K"
"109",354,34,1198.76727429558,0.0075606653596932,678702.773669867,229.962417602539,"K"
"111",362,111,1635.69768902203,0.00335855737926481,224570.095802936,333.015075683594,"K"
"112",363,108,1349.51200252109,0.00318978100597709,213235.40650228,307.162475585938,"K"
"113",369,54,1515.86906913475,0.00690987697425781,1249022.09097608,329.654968261719,"K"
"115",387,99,844.427236845999,0.00203439289484499,90942.617069183,179.432540893555,"K"
"118",412,76,395.708973131682,0.00096687008626759,10722.339069818,65.264533996582,"K"
"119",416,122,1550.95703225058,0.0032889412999613,239625.680646361,358.17529296875,"K"
"120",417,114,1678.44086402759,0.00297959169617079,350133.740505641,303.038208007813,"K"
"121",423,110,881.434363070402,0.00288158017458979,58454.0439970846,282.671203613281,"K"
"122",424,102,769.132592893115,0.00227888305351659,65601.5623966109,207.149597167969,"K"
"123",432,62,2324.10292668497,0.00827018544650407,523682.870781516,459.173187255859,"K"
"124",433,70,1807.51527666365,0.0080977454330212,242667.255873292,505.397827148438,"K"
"125",448,95,854.907976331209,0.00153833989795803,26123.3824094305,130.145767211914,"K"
"126",449,90,793.893972947863,0.00159262947436014,48411.6882515196,127.572395324707,"K"
"128",455,93,786.269460124355,0.00166305492838665,158451.048775307,137.69352722168,"K"
"129",463,131,1229.2734316178,0.00228371087906932,153343.496828905,263.583404541016,"K"
"130",470,81,995.503222995335,0.00250552011632941,150215.652966921,158.777572631836,"K"
"131",475,135,1907.41178696244,0.0120146925510741,1715262.05677153,1449.021484375,"K"
"132",476,124,2476.99454098363,0.012675834666347,610701.76884931,1403.23937988281,"K"
"133",478,35,1762.13254089356,0.00465418128913049,2040868.16801391,142.420516967773,"K"
"135",497,81,867.218810281636,0.00204438734908763,199315.846714201,147.19580078125,"K"
"136",499,79,920.939115886447,0.00194104772190957,110591.24298401,136.259521484375,"K"
"137",500,97,832.342526937269,0.00235083976319099,79153.0307382047,203.10710144043,"K"
"138",501,84,1801.95516758874,0.00764961626678032,473235.138976544,571.445190429688,"K"
"139",502,86,1552.00495458204,0.006433111615479,942627.275657049,492.118988037109,"K"
"141",511,99,879.497770675505,0.00225801167538038,94984.3182394583,199.155975341797,"K"
"142",512,90,772.683690304227,0.00338890591931917,119914.503289042,271.449340820313,"K"
"143",513,93,750.559114681777,0.0050106186716458,152296.109747893,414.845825195313,"K"
"145",521,77,1122.81576439003,0.00197926842271332,173402.066794184,135.36962890625,"K"
"146",522,110,773.47751346935,0.00186290646671721,147649.927963404,182.755508422852,"K"
"147",523,93,704.113032679404,0.00179513512019817,95765.5152189754,148.628189086914,"K"
"148",526,91,1041.03115677048,0.00202194039043712,125329.045262234,163.780044555664,"K"
"149",528,95,1046.13726838764,0.00277861842047795,134484.075395814,235.080413818359,"K"
"150",532,140,1312.71062011719,0.00272901924488239,386911.927466131,341.392730712891,"K"
"152",544,112,693.874051230295,0.00248576381174545,126918.860284473,248.317092895508,"K"
"153",545,112,827.593994140625,0.0022768509502917,112563.62444975,227.464340209961,"K"
"157",566,89,811.23874527149,0.00310118626508814,122688.85322131,245.629943847656,"K"
"158",567,90,890.471185641819,0.00296881950136308,103732.406738883,237.8212890625,"K"
"160",575,86,827.830630280251,0.00143374891434659,42792.1156582388,109.683242797852,"K"
"161",576,70,1025.73148280553,0.00188902997836957,111574.758477312,117.305152893066,"K"
"163",598,87,1200.64761457772,0.00200655229855329,161100.852819647,155.314437866211,"K"
"164",599,84,1240.91126723517,0.00220923834474735,225324.833720074,165.03352355957,"K"
"167",624,76,853.510410509612,0.00356227803460665,91879.1600096834,241.032897949219,"K"
"168",631,26,2164.66018500695,0.00853314277715981,1207278.55701272,192.004653930664,"K"
